date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
17:18:47	393/393	---M--	404	error ('Not%20Found')	text/html	date:Fri,%2028%20Oct%202016%2014:18:47%20GMT	http://www.mathstar.biz/robots.txt		(from )
17:18:48	4889/4889	---M-Z	200	added ('OK')	text/html	date:Mon,%2021%20Nov%202011%2014:24:16%20GMT	http://www.mathstar.biz/sfarim/mathematika7B/	www.mathstar.biz/sfarim/mathematika7B/index.html	(from )
17:18:48	10220/10220	---M-Z	200	added ('OK')	application/javascript	date:Mon,%2021%20Nov%202011%2014:24:34%20GMT	http://www.mathstar.biz/sfarim/mathematika7B/files/swfobject.js	www.mathstar.biz/sfarim/mathematika7B/files/swfobject.js	(from http://www.mathstar.biz/sfarim/mathematika7B/)
17:18:48	15916/15916	---M-Z	200	added ('OK')	application/javascript	date:Mon,%2021%20Nov%202011%2014:24:34%20GMT	http://www.mathstar.biz/sfarim/mathematika7B/files/swfaddress.js	www.mathstar.biz/sfarim/mathematika7B/files/swfaddress.js	(from http://www.mathstar.biz/sfarim/mathematika7B/)
17:18:48	628/628	---M-Z	200	added ('OK')	application/javascript	date:Mon,%2021%20Nov%202011%2014:24:17%20GMT	http://www.mathstar.biz/sfarim/mathematika7B/files/facebook.js	www.mathstar.biz/sfarim/mathematika7B/files/facebook.js	(from http://www.mathstar.biz/sfarim/mathematika7B/)
17:18:49	420/420	---M--	404	error ('Not%20Found')	text/html	date:Fri,%2028%20Oct%202016%2014:18:49%20GMT	http://www.mathstar.biz/sfarim/mathematika7B/flippingbook.swf?rnd=54f0ecc23569a06414a94416b212cb0e	www.mathstar.biz/sfarim/mathematika7B/flippingbookcd59.swf	(from http://www.mathstar.biz/sfarim/mathematika7B/)
17:18:49	840/840	---M-Z	200	added ('OK')	text/html	date:Fri,%2028%20Oct%202016%2014:18:49%20GMT	http://www.mathstar.biz/sfarim/mathematika7B/files/	www.mathstar.biz/sfarim/mathematika7B/files/index.html	(from http://www.mathstar.biz/sfarim/mathematika7B/)
17:18:49	1045/1045	---M-Z	200	added ('OK')	text/html	date:Mon,%2021%20Nov%202011%2014:42:16%20GMT	http://www.mathstar.biz/sfarim/mathematika7B/files/mobile/index.html	www.mathstar.biz/sfarim/mathematika7B/files/mobile/index.html	(from http://www.mathstar.biz/sfarim/mathematika7B/)
17:18:49	11940/11940	---M-Z	200	added ('OK')	text/html	date:Mon,%2021%20Nov%202011%2014:42:07%20GMT	http://www.mathstar.biz/sfarim/mathematika7B/files/assets/seo/toc.html	www.mathstar.biz/sfarim/mathematika7B/files/assets/seo/toc.html	(from http://www.mathstar.biz/sfarim/mathematika7B/)
17:18:50	727/727	---M--	200	added ('OK')	application/x-shockwave-flash	date:Mon,%2021%20Nov%202011%2014:24:17%20GMT	http://www.mathstar.biz/sfarim/mathematika7B/files/expressInstall.swf	www.mathstar.biz/sfarim/mathematika7B/files/expressInstall.swf	(from http://www.mathstar.biz/sfarim/mathematika7B/files/)
17:18:51	884/884	---M-Z	200	added ('OK')	text/html	date:Fri,%2028%20Oct%202016%2014:18:51%20GMT	http://www.mathstar.biz/sfarim/mathematika7B/files/assets/	www.mathstar.biz/sfarim/mathematika7B/files/assets/index.html	(from http://www.mathstar.biz/sfarim/mathematika7B/files/)
